,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Havelock,34.8791,-76.9013,78.75,81,100,6.8,US,1632191705
275,Ostrovnoy,68.0531,39.5131,34.68,87,86,11.01,RU,1632190871
276,Grand Island,40.925,-98.342,59.95,72,1,6.91,US,1632191697
277,San,13.3034,-4.8956,82.45,59,65,5.86,ML,1632191706
278,Manokwari,-0.8667,134.0833,80.58,78,100,6.31,ID,1632191707
279,Namatanai,-3.6667,152.4333,84.15,70,100,5.35,PG,1632191707
280,Kota Belud,6.351,116.4305,73.26,82,99,7.31,MY,1632191708
281,Vila Velha,-20.3297,-40.2925,73.35,88,40,6.91,BR,1632191006
282,São João da Barra,-21.6403,-41.0511,72.95,88,27,18.84,BR,1632191228
283,Sorong,-0.8833,131.25,81.61,75,89,2.15,ID,1632191709
284,Sayyan,15.1718,44.3244,61.72,37,37,3.24,YE,1632191709
285,Lompoc,34.6391,-120.4579,73.71,66,1,5.75,US,1632191080
286,Korla,41.7597,86.1469,79.21,16,20,9.82,CN,1632191710
287,Podor,16.6527,-14.9587,88.48,43,0,13.42,MR,1632191710
288,Sørland,67.667,12.6934,47.79,71,100,25.93,NO,1632191711
289,Dolores,-36.3132,-57.6792,43.43,92,0,8.12,AR,1632191711
290,Ranong,9.9658,98.6348,75.13,92,100,5.32,TH,1632191712
291,Warangal,18.0,79.5833,79.86,81,100,1.52,IN,1632191712
292,Tucumã,-0.1833,-50.05,76.24,91,99,6.11,BR,1632191713
293,Kiunga,-6.1219,141.2906,78.01,88,100,2.1,PG,1632191173
294,Constitución,-35.3333,-72.4167,51.24,72,0,5.68,CL,1632191456
295,Catemaco,18.4167,-95.1167,73.67,92,67,3.02,MX,1632191714
296,Swift Current,50.2834,-107.8014,54.41,43,20,5.75,CA,1632191714
297,Paso de los Toros,-32.8167,-56.5167,50.65,90,38,14.67,UY,1632191715
298,Ulaanbaatar,47.9077,106.8832,51.93,76,40,6.71,MN,1632191438
299,Camacha,33.0833,-16.3333,69.22,64,40,8.05,PT,1632191252
300,Brigantine,39.4101,-74.3646,68.05,77,40,4.61,US,1632191716
301,Aksarayskiy,46.7924,48.0119,57.15,63,96,3.91,RU,1632191716
302,Belaya Gora,68.5333,146.4167,35.53,50,44,9.46,RU,1632191226
303,Talcahuano,-36.7167,-73.1167,53.28,82,0,9.22,CL,1632191717
304,La Ronge,55.1001,-105.2842,44.85,81,40,0.0,CA,1632191220
305,Ishinomaki,38.4167,141.3,71.6,72,4,11.03,JP,1632191718
306,Bongor,10.2806,15.3722,72.63,86,90,5.03,TD,1632191718
307,Miraflores,19.2167,-98.8083,65.05,85,21,2.3,MX,1632191718
308,Taoudenni,22.6783,-3.9836,94.53,9,0,9.75,ML,1632191205
309,Zheleznodorozhnyy,55.7503,38.0042,43.32,94,100,12.77,RU,1632191719
310,Mayumba,-3.432,10.6554,74.37,85,100,5.21,GA,1632191719
311,Mossamedes,-15.1961,12.1522,60.69,86,9,0.92,AO,1632191255
312,Twin Falls,42.3505,-114.6445,53.49,50,1,9.22,US,1632191720
313,Kodinsk,58.6881,99.1844,41.7,76,33,8.14,RU,1632191208
314,Bustamante,26.5333,-100.5,84.31,42,1,6.46,MX,1632191721
315,Bowen,-20.0167,148.2333,88.02,44,49,4.07,AU,1632191311
316,Ribeira Grande,38.5167,-28.7,70.61,76,2,10.58,PT,1632191721
317,Abū Zabad,12.35,29.25,74.68,74,92,7.54,SD,1632191722
318,Filimonovo,56.2011,95.4611,44.8,62,40,16.33,RU,1632191722
319,Leningradskiy,69.3833,178.4167,26.76,83,89,11.61,RU,1632191268
320,Hualmay,-11.0964,-77.6139,61.23,82,63,10.27,PE,1632191270
321,Biak,-0.9131,122.8766,75.09,93,100,6.98,ID,1632191264
322,Acarí,-15.4311,-74.6158,64.69,76,99,2.17,PE,1632191724
323,Tombouctou,20.0,-3.0,89.74,14,0,3.62,ML,1632191724
324,Ürümqi,43.801,87.6005,52.75,35,0,4.47,CN,1632191650
325,Progreso,21.2833,-89.6667,82.51,83,33,13.85,MX,1632191725
326,Hermosillo,29.0667,-110.9667,87.71,58,40,4.61,MX,1632191725
327,Rome,43.2128,-75.4557,64.26,77,1,5.75,US,1632191675
328,Yuncheng,35.0231,110.9928,79.88,41,0,6.31,CN,1632191726
329,Bathsheba,13.2167,-59.5167,83.01,74,20,9.22,BB,1632191172
330,Zhezkazgan,47.8043,67.7144,45.73,43,4,11.77,KZ,1632191726
331,Xai-Xai,-25.0519,33.6442,64.11,74,37,3.89,MZ,1632191727
332,Acapulco de Juárez,16.8634,-99.8901,84.02,79,40,9.22,MX,1632191727
333,Poum,-20.2333,164.0167,72.72,64,8,17.69,NC,1632191274
334,Moshenskoye,58.5102,34.5911,36.99,93,100,9.73,RU,1632191728
335,Dudinka,69.4058,86.1778,30.67,83,99,11.65,RU,1632191258
336,Portland,45.5234,-122.6762,69.78,51,20,6.91,US,1632191118
337,Belmonte,-15.8631,-38.8828,72.1,87,84,2.66,BR,1632191729
338,Sawākin,19.1059,37.3321,89.06,36,9,6.76,SD,1632191729
339,Kindu,-2.95,25.95,69.4,93,55,2.28,CD,1632191730
340,Polyarny,69.1989,33.4478,28.87,87,49,11.54,RU,1632191730
341,Klaksvík,62.2266,-6.589,52.72,79,100,30.89,FO,1632191730
342,Monticello,45.3055,-93.7941,60.75,88,75,12.66,US,1632191731
343,La Orilla,17.9833,-102.2333,79.07,85,32,4.34,MX,1632191731
344,Grindavik,63.8424,-22.4338,45.07,87,75,6.91,IS,1632191732
345,Tokoroa,-38.2333,175.8667,60.46,47,4,8.46,NZ,1632191469
346,Banjar,-8.19,114.9675,84.06,67,98,0.96,ID,1632191732
347,Wakefield,53.6809,-1.499,55.89,87,47,5.26,GB,1632191733
348,Mehamn,71.0357,27.8492,39.45,71,23,15.23,NO,1632190939
349,Celestún,20.8667,-90.4,81.97,80,17,15.05,MX,1632191733
350,Berehove,48.2056,22.6442,46.35,83,18,7.31,UA,1632191734
351,Cidreira,-30.1811,-50.2056,68.14,97,61,10.29,BR,1632191734
352,Philadelphia,39.9523,-75.1638,64.72,72,20,5.75,US,1632191677
353,Vilyuysk,63.7553,121.6247,45.36,51,98,9.82,RU,1632191594
354,Bariloche,-41.1456,-71.3082,40.75,48,0,6.91,AR,1632191735
355,Berdigestyakh,62.0989,126.6992,44.8,59,14,7.25,RU,1632191590
356,Yumen,40.2833,97.2,70.12,25,96,16.06,CN,1632191736
357,Caraí,-17.1889,-41.6947,61.72,95,86,2.42,BR,1632191736
358,Iberia,29.9502,-91.7507,80.67,94,1,3.44,US,1632191736
359,Tucumcari,35.1717,-103.725,75.04,31,1,16.11,US,1632191737
360,Pangai,-19.8,-174.35,78.91,61,20,8.05,TO,1632191737
361,Cockburn Town,21.4612,-71.1419,83.14,80,84,18.57,TC,1632191738
362,Statesville,35.7826,-80.8873,76.19,73,90,10.36,US,1632191738
363,Kholtoson,50.2981,103.3097,42.44,96,100,4.61,RU,1632191739
364,Hamilton,39.1834,-84.5333,71.35,86,20,0.0,US,1632191739
365,Jérémie,18.65,-74.1167,79.92,78,74,2.39,HT,1632191739
366,Topolobampo,25.6,-109.05,84.11,70,90,4.61,MX,1632191740
367,Kottayam,9.5833,76.5167,77.02,79,98,3.24,IN,1632191740
368,Livingston,55.9029,-3.5226,51.87,93,20,8.05,GB,1632191741
369,Tashara,55.5195,83.5094,36.36,97,100,9.22,RU,1632191741
370,Abu Samrah,35.3029,37.1841,72.84,45,0,5.48,SY,1632191742
371,Bichena,10.45,38.2,51.04,75,3,3.09,ET,1632191742
372,Naranjal,-2.6667,-79.6167,75.0,90,74,2.48,EC,1632191742
373,Sambava,-14.2667,50.1667,71.08,76,92,11.48,MG,1632191743
374,La Seyne-sur-Mer,43.0982,5.8847,60.76,66,90,4.88,FR,1632191743
375,Daşoguz,41.8363,59.9666,51.75,43,0,4.61,TM,1632191744
376,Novoagansk,61.9449,76.6625,34.47,97,100,11.23,RU,1632191744
377,Dali,25.7,100.1833,67.87,67,9,2.64,CN,1632191158
378,Evensk,61.95,159.2333,46.4,83,100,19.28,RU,1632191745
379,Lockhart,28.6194,-81.4426,80.53,94,20,5.75,US,1632191745
380,San Roque,36.2107,-5.3842,70.61,94,75,8.05,ES,1632191746
381,Vacha,55.8008,42.7706,39.72,90,100,13.51,RU,1632191747
382,Linxia Chengguanzhen,35.6003,103.2064,65.53,27,2,2.08,CN,1632191747
383,Berezovyy,51.6667,135.7,64.62,51,71,2.84,RU,1632191748
384,Avera,33.194,-82.5271,74.71,98,100,10.33,US,1632191258
385,Kautokeino,69.0125,23.0412,32.27,86,11,19.33,NO,1632191748
386,Brae,60.3964,-1.353,53.51,81,100,21.74,GB,1632191748
387,Saint-Joseph,-21.3667,55.6167,66.58,72,99,13.78,RE,1632191168
388,Chennai,13.0878,80.2785,80.58,83,75,6.91,IN,1632191463
389,Podhum,43.7231,17.0011,55.96,82,66,6.91,BA,1632191750
390,Pemangkat,1.1667,108.9667,85.6,65,94,1.34,ID,1632191750
391,Botevgrad,42.9,23.7833,53.78,93,92,2.08,BG,1632191751
392,Nouakchott,18.0858,-15.9785,87.73,62,3,19.91,MR,1632191751
393,Colac,-38.3333,143.5833,53.47,51,73,12.55,AU,1632191752
394,Golyshmanovo,56.3979,68.3728,36.1,93,100,9.57,RU,1632191752
395,‘Ewa Beach,21.3156,-158.0072,85.95,48,1,9.22,US,1632191753
396,Vitim,59.4511,112.5578,61.21,53,73,8.63,RU,1632191753
397,Vorsma,55.9856,43.2717,42.64,85,100,15.32,RU,1632191753
398,Mazamari,-11.3258,-74.5308,71.42,90,94,2.82,PE,1632191754
399,Atambua,-9.1061,124.8925,84.67,39,70,4.74,ID,1632191240
400,Umeå,63.8284,20.2597,39.13,100,90,2.3,SE,1632191754
401,Hobyo,5.3505,48.5268,76.55,85,29,17.34,SO,1632191755
402,Chapais,49.7834,-74.8492,58.78,59,98,11.07,CA,1632191568
403,Nurota,40.5614,65.6886,53.69,26,0,6.51,UZ,1632191319
404,Fort Nelson,58.8053,-122.7002,56.79,54,90,5.75,CA,1632191158
405,Soe,-9.8607,124.284,82.99,32,73,14.27,ID,1632191756
406,Ust-Nera,64.5667,143.2,38.98,57,11,4.5,RU,1632191537
407,Huron,41.1501,-82.5499,74.64,81,99,11.5,US,1632191757
408,Tautira,-17.7333,-149.15,82.42,74,9,13.02,PF,1632191757
409,Youkounkoun,12.5333,-13.1333,75.4,92,11,3.94,GN,1632191263
410,Victor Harbor,-35.5667,138.6167,55.49,62,96,13.67,AU,1632191758
411,Madimba,-10.4,40.3333,69.12,94,20,9.22,TZ,1632191758
412,Byron Bay,-28.65,153.6167,75.15,50,64,11.03,AU,1632191759
413,Lucapa,-8.4192,20.7447,66.36,47,45,2.15,AO,1632191759
414,Hirado,33.3597,129.5531,83.55,86,75,21.68,JP,1632191760
415,Mariehamn,60.0973,19.9348,31.86,100,75,2.3,AX,1632191760
416,Cabangahan,9.0781,122.9469,81.82,75,99,4.65,PH,1632191761
417,Vinh Long,10.25,105.9667,82.38,67,90,8.32,VN,1632191761
418,Iturama,-19.7281,-50.1956,84.83,22,5,4.5,BR,1632191551
419,Kiryat Gat,31.61,34.7642,74.08,76,0,4.43,IL,1632190942
420,Codrington,-38.2667,141.9667,52.48,69,98,14.54,AU,1632191762
421,Nishihara,26.1842,127.7558,87.08,72,40,9.22,JP,1632191762
422,Ucluelet,48.9329,-125.5528,54.86,88,99,3.76,CA,1632191728
423,Vanimo,-2.6741,141.3028,86.81,63,95,6.15,PG,1632191763
424,Darnah,32.767,22.6367,78.96,49,0,4.41,LY,1632191763
425,Plettenberg Bay,-34.0527,23.3716,51.71,69,76,7.52,ZA,1632191764
426,Lorengau,-2.0226,147.2712,81.5,74,89,3.8,PG,1632191229
427,Christchurch,-43.5333,172.6333,71.8,35,20,10.36,NZ,1632191720
428,Mēga,4.05,38.3,56.79,76,18,13.24,ET,1632191765
429,Kirensk,57.7853,108.1119,43.56,93,100,9.31,RU,1632191765
430,Siaya,0.0612,34.2882,62.78,82,13,3.78,KE,1632191766
431,Vilcún,-38.65,-72.2333,48.94,88,0,2.64,CL,1632191766
432,Oistins,13.0667,-59.5333,82.49,74,20,9.22,BB,1632191767
433,Khasan,42.4308,130.6434,67.8,98,100,16.22,RU,1632191767
434,Mazatlán,23.2167,-106.4167,80.56,83,40,4.61,MX,1632191702
435,Kapit,2.0167,112.9333,74.39,98,100,1.9,MY,1632191768
436,Aykhal,66.0,111.5,38.01,58,100,20.13,RU,1632191768
437,Gravdal,68.1214,13.5031,47.43,62,100,21.94,NO,1632191769
438,Hwange,-18.3693,26.5019,67.8,43,1,3.78,ZW,1632191769
439,Devils Lake,48.1128,-98.8651,53.58,66,1,11.5,US,1632191689
440,Tanuma,36.3667,139.5833,78.96,47,3,3.06,JP,1632191770
441,Båtsfjord,70.6345,29.7185,39.42,79,46,26.42,NO,1632191770
442,Huejuquilla el Alto,22.6,-103.8667,60.39,93,100,2.84,MX,1632191770
443,Helena,46.5927,-112.0361,50.99,50,1,6.91,US,1632191771
444,Chimbote,-9.0853,-78.5783,61.74,85,7,10.07,PE,1632191216
445,Jinchang,38.4953,102.1739,74.1,17,16,4.0,CN,1632191771
446,Nouadhibou,20.931,-17.0347,73.38,78,0,20.71,MR,1632191772
447,Cap Malheureux,-19.9842,57.6142,68.49,65,59,20.2,MU,1632191772
448,Nemuro,43.3236,145.575,68.43,82,40,15.61,JP,1632191319
449,Richards Bay,-28.783,32.0377,65.12,81,100,16.37,ZA,1632191773
450,Naze,28.3667,129.4833,81.52,67,0,2.06,JP,1632191190
451,Warri,5.5167,5.75,75.25,92,100,2.95,NG,1632191774
452,Seoul,37.5683,126.9778,73.81,85,75,6.91,KR,1632191174
453,Comodoro Rivadavia,-45.8667,-67.5,48.06,46,0,4.61,AR,1632191299
454,Cabo Rojo,18.0866,-67.1457,80.47,81,75,5.23,PR,1632191300
455,Sioux Lookout,50.1001,-91.917,52.18,93,90,4.61,CA,1632191775
456,Strezhevoy,60.7333,77.5889,35.58,94,100,10.51,RU,1632191775
457,Vanderhoof,54.0166,-124.0198,48.58,82,100,8.32,CA,1632191776
458,Shishou,29.7226,112.419,84.16,62,0,9.53,CN,1632191776
459,Rumonge,-3.9736,29.4386,74.39,55,15,2.91,BI,1632191776
460,Wajir,1.7471,40.0573,73.42,71,0,13.47,KE,1632191777
461,Bayangol,50.6977,103.4656,38.07,98,100,3.89,RU,1632191777
462,Mihara,34.4,133.0833,82.53,61,20,8.05,JP,1632191778
463,Bud,39.447,-86.1758,71.94,89,54,13.53,US,1632191778
464,The Valley,18.217,-63.0578,82.26,77,4,8.55,AI,1632191779
465,Green River,41.5286,-109.4662,48.6,30,58,14.76,US,1632191779
466,Dinguiraye,11.3,-10.7167,69.73,93,2,3.38,GN,1632191780
467,Puerto Nariño,-3.7703,-70.3831,78.75,86,74,4.12,CO,1632191780
468,Iquitos,-3.7481,-73.2472,77.04,88,75,0.0,PE,1632191704
469,Vrede,-27.4257,29.1659,46.13,34,0,3.69,ZA,1632191781
470,Pisco,-13.7,-76.2167,62.65,77,0,11.5,PE,1632191781
471,Mopti,14.6667,-4.0,86.94,42,30,8.39,ML,1632191782
472,Saint-Pierre,-21.3393,55.4781,67.68,64,20,11.5,RE,1632191782
473,Mana,5.6592,-53.7767,78.84,85,39,7.76,GF,1632191783
474,Mikumi,-7.4041,36.9831,65.48,89,43,0.51,TZ,1632191783
475,Marystown,47.1666,-55.1483,45.36,70,25,7.27,CA,1632191239
476,Ruteng,-8.6136,120.4721,75.81,50,42,1.86,ID,1632191784
477,Aleksandrov Gay,50.147,48.5704,56.14,41,94,13.22,RU,1632191784
478,Coyhaique,-45.5752,-72.0662,40.95,81,0,3.44,CL,1632191785
479,Sur,22.5667,59.5289,84.99,65,4,5.86,OM,1632191786
480,Hutchinson,38.0608,-97.9298,74.43,46,1,10.36,US,1632191780
481,San Cristobal,7.7669,-72.225,73.58,97,100,2.28,VE,1632191786
482,Porto Alegre,-30.0331,-51.23,69.4,94,90,5.75,BR,1632191787
483,Laguna,38.421,-121.4238,86.14,23,1,0.0,US,1632191233
484,Saran,47.9501,1.876,59.07,94,20,9.22,FR,1632191788
485,‘Āhuimanu,21.4447,-157.8378,85.71,56,75,19.57,US,1632191209
486,Mahibadhoo,3.7833,72.9667,83.46,72,14,10.07,MV,1632191789
487,Okha,53.5739,142.9478,54.16,50,48,19.13,RU,1632191192
488,Neepawa,50.2289,-99.4664,48.6,46,94,8.99,CA,1632191789
489,Mānvi,15.9833,77.05,77.11,79,100,10.09,IN,1632191789
490,Bacolod City,10.6667,122.95,82.8,76,100,3.13,PH,1632191747
491,Vakhrushev,48.9833,142.9667,62.42,55,100,5.99,RU,1632191790
492,Trincomalee,8.5711,81.2335,82.74,73,78,16.22,LK,1632191790
493,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,66.42,86,100,13.18,AR,1632191791
494,Kinshasa,-4.3246,15.3215,77.38,73,75,6.91,CD,1632191522
495,Bilma,18.6853,12.9164,82.72,16,4,4.92,NE,1632191791
496,Manoel Urbano,-8.8389,-69.2597,76.01,75,2,1.97,BR,1632191792
497,Sovetskiy,61.3614,63.5842,33.44,83,100,4.43,RU,1632191200
498,Kenai,60.5544,-151.2583,53.69,54,20,17.27,US,1632191792
499,Beloha,-25.1667,45.05,62.11,73,0,7.0,MG,1632191199
500,Padang,-0.9492,100.3543,82.45,74,37,3.65,ID,1632191793
501,Atasū,48.6814,71.6433,41.92,50,2,10.83,KZ,1632191793
502,Abaza,52.655,90.0928,40.91,78,99,5.75,RU,1632191532
503,La Romana,18.4273,-68.9728,82.13,94,20,0.0,DO,1632191794
504,Bani Walid,31.7566,13.9942,77.16,30,0,2.64,LY,1632191794
505,Yanta,36.2411,115.6672,77.07,62,0,5.64,CN,1632191795
506,Dentsville,34.064,-80.9582,77.05,83,90,4.61,US,1632191795
507,Kropotkin,45.4375,40.5756,63.34,72,99,1.92,RU,1632191796
508,Kumul,42.8,93.45,77.22,25,92,3.18,CN,1632191796
509,Faya,18.3851,42.4509,62.71,33,2,9.93,SA,1632191796
510,Chebsara,59.2002,38.8356,31.33,81,100,10.65,RU,1632191536
511,Helong,42.5397,128.9972,63.05,95,100,2.46,CN,1632191797
512,Ixtapa,20.7,-105.2,78.03,89,90,12.66,MX,1632191798
513,Azul,-36.777,-59.8585,39.78,85,0,7.49,AR,1632191798
514,Goderich,43.7501,-81.7165,71.92,73,100,12.66,CA,1632191798
515,Bhopalwala,32.4289,74.3633,78.69,89,40,4.61,PK,1632191799
516,Esim,4.8699,-2.2405,75.54,93,42,7.63,GH,1632191799
517,Nhulunbuy,-12.2333,136.7667,86.61,58,40,21.85,AU,1632191799
518,Fredericksburg,38.3032,-77.4605,68.54,86,1,0.0,US,1632191800
519,Mon,26.75,95.1,80.37,75,51,2.91,IN,1632191800
520,Manggar,-2.8833,108.2667,84.69,66,95,12.62,ID,1632191801
521,Mahina,-17.5065,-149.489,82.17,61,20,14.97,PF,1632191801
522,Fuerte Olimpo,-21.0415,-57.8738,81.34,23,3,3.8,PY,1632191801
523,Kysyl-Syr,63.8986,122.7617,45.03,54,96,7.76,RU,1632191802
524,Mweka,-4.85,21.5667,69.57,72,80,1.88,CD,1632191802
525,Kamenka,51.3223,42.7678,46.26,80,87,8.66,RU,1632191803
526,Egvekinot,66.3167,-179.1667,27.36,64,31,5.82,RU,1632191803
527,Jiaocheng,24.6774,116.1389,93.97,51,14,2.66,CN,1632191804
528,Gusau,12.1628,6.6614,74.88,78,100,6.85,NG,1632191804
529,Nichinan,31.6,131.3667,83.35,82,55,5.88,JP,1632191805
530,Tocopilla,-22.092,-70.1979,59.29,81,69,2.24,CL,1632191805
531,Makanya,-4.3667,37.8333,66.25,85,78,5.06,TZ,1632191806
532,Salisbury,51.0693,-1.7957,50.83,87,30,5.75,GB,1632191806
533,Yangi Marg`ilon,40.4272,71.7189,59.72,58,0,4.61,UZ,1632191249
534,Adrar,20.5022,-10.0711,86.7,26,0,16.22,MR,1632191807
535,Mayna,54.1135,47.6231,43.14,66,100,11.34,RU,1632191807
536,Lanxi,29.2195,119.477,84.06,64,5,6.24,CN,1632191808
537,San Angelo,31.4638,-100.437,89.82,31,1,8.05,US,1632191738
538,Coari,-4.085,-63.1414,76.69,80,94,2.84,BR,1632191808
539,La Asuncion,11.0333,-63.8628,83.93,70,100,10.36,VE,1632191718
540,Ibrā’,22.6906,58.5334,78.6,68,3,3.13,OM,1632191809
541,Bridlington,54.0831,-0.1919,55.33,87,96,6.71,GB,1632191269
542,Bandarbeyla,9.4942,50.8122,76.24,82,8,23.26,SO,1632191242
543,Nelson Bay,-32.7167,152.15,60.85,73,98,27.83,AU,1632191810
544,Kaoma,-14.7833,24.8,60.75,35,3,5.95,ZM,1632191810
545,Port Hardy,50.6996,-127.4199,55.58,88,75,13.8,CA,1632191244
546,Mimongo,-1.6195,11.6068,69.66,97,100,2.48,GA,1632191811
547,Bahía Honda,22.9036,-83.1592,78.98,89,14,7.29,CU,1632191811
548,Mae Hong Son,19.3003,97.9685,78.94,89,75,2.3,TH,1632191812
549,Predivinsk,57.0669,93.4378,40.37,85,100,8.21,RU,1632191812
